标题,出发日期,天数,城市,路线,人数,玩法,费用,阅读数,点赞数,评论数
【西安】盛世繁华 长安再现,2023-09-09 出发,共6天,西安,西安碑林博物馆>陕西历史博物馆>关中书院>广仁寺>秦始皇帝陵博物院(兵马俑)>高家大...,家庭,深度游 漫游 美食,人均3000元,489,0,0
慢游中山，三天两晚艺术与文化的魅力之旅,2023-09-27 出发,共1天,中山>庐山市,中山市博物馆>香山商业文化博物馆,,,,2.1万,2,0
巴山楚水，诗意三峡丨6大5A景区串联起的鄂西之行,2023-09-23 出发,共7天,恩施市Enshishi>神农架>宜昌>奉节Fengjie County,恩施大峡谷>板壁岩>一炷香>巴王寨>神农谷>三峡大瀑布>三峡人家>灯影石>犀牛沟...,,漫游 美食,,5040,3,0
搭乘高铁去香港，来场追忆青春的情怀打卡,2023-09-22 出发,共1天,香港,九龙>兰桂坊>庙街>星光大道>香港故宫文化博物馆>太平山顶>天星小轮>天坛大佛...,,美食,,4.9万,0,0
去青海看盐湖、看藏羚羊…,2023-08-28 出发,共7天,,,独自一人,,,6240,4,0
快乐大山行,2023-09-16 出发,共8天,日照>大连,万平口风景区,三五好友,穷游,人均3000元,1092,0,0
全家老少环渤海送学游,2023-09-02 出发,共7天,锦州>兴城>天津>曹妃甸Caofeidian>盘锦>山海关,笔架山>观音洞风景区>兴城古城>五大道>瓷房子>静园>意大利风情区,,美食,人均3000元,3106,7,0
深度玩转中珠澳全攻略，开启多元文化冒险之旅,2023-09-16 出发,共1天,珠海>澳门Macau,东澳岛>拱北口岸>澳门历史城区>珠海拱北口岸>情侣路>澳门塔>桂山岛>汤臣倍健透明...,,美食,,5540,0,0
结婚十年，带俩孩子再游西湖，感受江南水乡、体验群岛生活,2023-08-21 出发,共1天,湖州>杭州>普陀山Putuoshan,南浔古镇>龙井村>龙井山园茶文化村>虎跑公园>云栖竹径>岳王庙景区>西湖风景名胜区...,,深度游 古镇,,617,0,0
念游City｜漫游绍兴｜数字游民说走就走的日常,2022-04-01 出发,共4天,绍兴,三味书屋>鲁迅纪念馆>百草园>鲁迅故里景区>鲁迅祖居>仓桥直街>戒珠讲寺>绍兴博物,独自一人,深度游 漫游 美食 清明 古镇 踏春,人均500元,7118,2,0
9月云南5日游,2023-09-03 出发,共1天,香格里拉Xianggelila>大理市区>大理,龟山公园>独克宗古城>洱海>周城>苍山>文笔村>喜洲>大理古城>小普陀>双廊>张家...,,,,6168,1,0
香港澳门暴雨游,2023-09-07 出发,共5天,香港>澳门Macau,香港机场快线>金钟站>旺角>油麻地>重庆大厦>维多利亚港>天星小轮>香港摩天轮...,,美食 第一次,人均4200元,5049,2,0
威海亲子7日游,2023-09-01 出发,共7天,威海,韩乐坊>九龙湾公园>刘公岛>半月湾公园>猫头山>威海国际海水浴场>海源公园>火炬八...,亲子,,人均3000元,6371,4,0
西域游记,2023-07-15 出发,共1天,,,,,,5067,3,0
浪漫永不落幕｜特种兵打卡山东半岛,2023-08-26 出发,共1天,,,,夏季,,3.6万,2,0
为生命续航，为心境开光——环山东半岛自驾游（下）,2023-08-09 出发,共10天,台中,,家庭,自驾 摄影 夏季,人均5000元,4292,5,0
2023北京天津-圆一个小朋友环球影城的梦,2023-08-15 出发,共5天,北京>天津,颐和园>故宫博物院>什刹海>南锣鼓巷>北京大学>清华大学>天安门广场>雍和宫>天安...,家庭,美食 暑假 第一次,人均7000元,159,0,0
8月末雨中恩施亲子6日游,2023-08-25 出发,共1天,恩施市Enshishi>恩施,恩施大峡谷>恩施土司城>恩施站>恩施梭布垭石林景区>莲花寨>云龙地缝>七星寨景区...,,探险,,747,2,0
玩转营口，感受海滨城市的快乐与美味,2023-08-22 出发,共1天,营口>盖州,西炮台公园>望儿山>辽河老街>华夏·亚特兰海世界>鲅鱼圈站,,海滨海岛 温泉,,2万,3,0
【6天5晚-石头哥哥的“新”之旅】-细枝末节的新加坡攻略,2023-08-20 出发,共5天,新加坡(新加坡Singapore)>佛山,樟宜机场>时光之翼>花柏山公园>甘榜格南>鱼尾狮公园>乌节路>西乐索海滩>小印度...,家庭,暑假 第一次,,3402,7,0
＃西藏＃到达才不是梦中的地方,2023-09-02 出发,共9天,拉萨>班戈>日喀则,八廓街>布达拉宫>大昭寺>布达拉宫广场>药王山>色林措>巴木错>纳木措圣象天门,,,人均7000元,6128,11,0
打卡诗画中的扬州！这个夏天，带娃去过一个古风暑期~,2023-09-02 出发,共1天,扬州,何园>个园>瘦西湖>大明寺>中国大运河博物馆>茱萸湾风景区>汉广陵王墓博物馆,,温泉 暑假 夏季 赏秋,,323,0,0
行游神木，一场穿越古今的千年之旅,2023-08-05 出发,共1天,榆林>神木,石峁遗址>二郎山>红碱淖>高家堡古城,,,,2.2万,37,0
五天四晚和小朋友南京游,2023-08-21 出发,共5天,南京,夫子庙秦淮风光带>江南贡院-历史陈列馆>侵华日军南京大屠杀遇难同胞纪念馆>南京博物...,,,,592,1,0
为生命续航，为心境开光一一环山东半岛自驾游（上）,2023-08-04 出发,共10天,台中,,家庭,自驾 摄影 夏季,人均5000元,2411,6,0
on call 36小时,2023-08-26 出发,共2天,,,亲子,暑假 短途周末,,255,2,0
瑞士旅行｜苏黎世玩不停，城市漫游记,2023-08-25 出发,共1天,,,,漫游 美食 温泉 夏季,,6628,1,0
云南丽江-香格里拉七日自由行,2023-08-05 出发,共1天,香格里拉Xianggelila>深圳>丽江,,,,,6578,5,0
呼伦贝尔六人行,2023-08-08 出发,共8天,满洲里>额尔古纳>呼伦贝尔,中苏街>额尔古纳河>室韦>室韦口岸>莫尔道嘎国家森林公园>中国冷极村>额尔古纳国家...,三五好友,美食 暑假,人均4858元,4579,3,0
桐家的旅行——诗词之都、历史之城西安、重庆亲子12日研学慢游,2023-07-31 出发,共12天,西安>重庆,华清宫>重庆北站>十八梯>重庆西站>山城步道>解放碑步行街>大明宫国家遗址公园...,亲子,深度游 暑假 摄影,人均7000元,994,3,0
走一趟山西，穿越时空去鉴证历史,2023-08-03 出发,共15天,大同>太原,云冈石窟>华严寺>大同市博物馆,家庭,自驾 暑假,人均6000元,1127,9,0
爱上甘南的理由,2023-08-10 出发,共1天,兰州>夏河>甘南>若尔盖>迭部>合作,中川机场>西关清真大寺>拉卜楞寺>贡唐宝塔>白龙江>桑科草原>郎木寺镇>格尔底寺...,,美食,,5373,6,0
那么近这么美，周末我们去河北,2023-08-10 出发,共4天,唐山>迁安,多玛乐园>唐山多玛乐园水上别墅>世纪游艇>溪谷漂流>请君入瓮>欢乐捕鱼机>超级机器...,三五好友,自驾 暑假 短途周末,人均1000元,1465,1,0
泉州8天度假漫游，细品半城烟火，拜半城仙,2023-04-01 出发,共1天,泉州,大开元寺>关岳庙>天后宫>涂门街>清净寺>承天寺>金鱼巷>海外交通史博物馆>弘一法...,,漫游 美食,,6475,6,0
神农架恩施大峡谷7日自驾游,2023-08-13 出发,共7天,,,亲子,自驾 暑假,人均2300元,5828,8,0
旅居四十日、避暑川鄂西（上）,2023-07-04 出发,共40天,小金>理县,四姑娘山>毕棚沟>凉台沟>桃坪羌寨>四姑娘山长坪沟景区>双桥沟>海子沟>日隆>人参...,家庭,自驾 暑假,人均14000元,1180,2,0
江南三大名楼6天5夜自由行,2023-08-10 出发,共6天,武汉>大名,武汉大学>古琴台>黄鹤楼>武汉长江大桥>湖北省博物馆>晴川阁>户部巷>东湖>江汉关...,家庭,美食 暑假,人均2200元,3437,6,0
第一次马尔代夫之行——中央格兰德岛,2023-07-24 出发,共8天,广州>马尔代夫(马累Male),白云国际机场,三五好友,美食 海滨海岛 暑假 夏季 第一次,人均20000元,4807,2,0
不包车，不自驾，不报团，新疆自由行攻略,2023-08-14 出发,共7天,乌鲁木齐>布尔津,新疆国际大巴扎>新疆维吾尔自治区博物馆>喀纳斯三湾>贾登峪>喀纳斯景区>观鱼台...,情侣,自驾 暑假 夏季 第一次,,2914,3,0
最全坦桑尼亚攻略，用14天记录完整的东非风情,2023-05-12 出发,共1天,坦桑尼亚(恩戈罗恩戈罗Ngorongoro),,,,,4331,2,0
马来西亚6天5晚旅行攻略,2023-07-21 出发,共5天,马来西亚(吉隆坡Kuala Lumpur 马六甲Malacca 槟城Penang 珍拉丁Cherating),吉隆坡悦榕庄酒店(Banyan Tree Kuala Lumpur)>吉隆坡国油双峰塔>吉隆坡塔旋转餐厅...,亲子,暑假 第一次,,5381,2,0
山城行‖爱上这座城没有理由,2023-05-24 出发,共11天,重庆>上海>武隆,重庆北站>鲤鱼池>洪崖洞民俗风貌区>解放碑步行街>嘉陵江>洪崖洞>朝天门广场>千厮...,,美食 古镇,,5541,1,0
穿格聂南线，观格聂神山,2023-08-03 出发,共1天,理塘>天全,下则通>理塘县>理塘寺>卡子拉山,,,,3145,0,0
呼伦贝尔满洲里,2023-08-05 出发,共1天,,,,温泉,,643,1,0
【Hi，沙巴Sabah】马来西亚日记,2023-07-16 出发,共1天,,,,环游,,4509,1,0
旅行千年瓷都景德镇，这样的玩法才算地道,2023-08-04 出发,共1天,景德镇>浮梁,明清园>古窑民俗博览区>景德镇中国陶瓷博物馆>陶溪川文创街区>瑶里景区>高岭国家矿...,,古镇 探险,,10.6万,3,0
【晋北】最爱的避署旅游胜地-云中平城,2023-07-04 出发,共4天,大同>越南(中平Trung Binh)>马来西亚(文庙Rembia),薄伽教藏殿>华严寺>善化寺>华严宝塔>大同纯阳宫>关帝庙>九龙壁>云冈石窟,独自一人,深度游 购物 古镇 暑假,人均900元,6588,2,0
千年瓷都焕新颜，72小时chill假期玩转景德镇,2023-08-09 出发,共1天,,,,美食 古镇 探险,,4.7万,3,0
三天三城，丽水/衢州/金华，跟我一起游浙里,2023-08-09 出发,共1天,,,,,,5.5万,0,0
2023.7.26~8.5自驾天津--湖北神农架,2023-07-26 出发,共11天,神农架>开封,神农架风景区>龙亭公园>开封府>鼓楼夜市>繁塔>铁塔公园>神农祭坛>官门山>天生桥...,家庭,自驾 暑假,人均3500元,3434,1,0
疫後出行2023——探索滬蘇寧之旅（探索沪苏宁之旅）,2023-07-11 出发,共7天,南京>苏州,中国科举博物馆(江南贡院)>江南贡院>夫子庙>苏州站>拙政园>观前街>明孝陵>南京长...,家庭,暑假 夏季 探险,,1624,1,0
苏梅岛五日游攻略，探索不一样的度假新玩法,2023-07-11 出发,共1天,,,,美食 夏季 探险,,4932,1,0
【青甘环线12日自驾】向光前行，是遇见是穿越,2023-07-10 出发,共12天,敦煌>西宁>共和>海西,敦煌盛典>塔尔寺>青海藏文化博物院>西宁南山公园>橡皮山>青海湖二郎剑景区>西台吉...,三五好友,深度游 美食 自驾 暑假 摄影 夏季,人均8000元,5323,1,0
行走山水间（阳朔、龙脊、桂林5日游）,2023-06-28 出发,共1天,阳朔>桂林,阳朔>如意峰索道景区>阳朔胜地酒店>遇龙河景区>十里画廊>金龙桥>遇龙河漂流>桂林...,,探险 第一次,,562,1,0
你与世界的距离，只差一场说走就走的旅行——青海行,2023-07-29 出发,共6天,祁连>刚察>海西>格尔木>德令哈,千兵崖>卓尔山>祁连大草原>青海湖仙女湾>大柴旦翡翠湖旅游景区>大柴旦镇>315国道...,亲子,深度游 美食 暑假 摄影 第一次,人均6000元,5462,13,0
南京～母女二人毕业之旅—citywalk&博物馆,2023-08-12 出发,共6天,南京,秦淮河>明孝陵>南京总统府>灵谷寺>浦口火车站旧址>乌衣巷>中山陵景区>鸡鸣寺...,亲子,漫游 暑假 毕业游 第一次,,1410,4,0
新疆：乌鲁木齐and北疆环游15天,2023-08-04 出发,共15天,乌鲁木齐>吐鲁番>富蕴>阿勒泰>阜康,乌鲁木齐市博物馆>交河驿·坎儿井源>吐峪沟>葡萄沟>火焰山景区>可可苏里湖>可可托...,闺蜜,深度游 环游 美食 暑假 徒步 第一次,人均14000元,5649,5,0
杭州、乌镇、绍兴@只因朵姐一首“江南好 风景旧曾谙”～我便陪她下江南～,2023-07-23 出发,共5天,杭州>绍兴,西湖风景名胜区>杭州东站>清河坊街>断桥残雪>白堤>平湖秋月>孤山>三潭印月>岳王...,家庭,深度游 古镇 暑假,人均4000元,3195,4,0
福建东山岛+厦门悠闲台风5日游,2023-07-26 出发,共5天,东山>厦门Xiamen,东山岛>阿勇果汁铺>中山路步行街>厦门天伦海景酒店公寓(双子塔店)>第八市场>阿龙沙...,家庭,自驾 暑假 夏季 第一次,人均2000元,395,1,0
带着小女游云南大理、香格里拉（教你如何暑假避开人群）,2023-07-14 出发,共1天,大理市区>香格里拉Xianggelila,洱海>苍山>洗马潭>清碧溪>寂照庵>天龙八部影视城>感通索道>玉带云游路>大理古城...,,古镇 暑假,,770,2,0
2023年之：7月 马来西亚,2023-07-16 出发,共1天,马来西亚(吉隆坡Kuala Lumpur),吉隆坡国际机场>吉隆坡市中心 (KLCC)>吉隆坡国油双峰塔>马来西亚国家博物馆>旧国家...,,海滨海岛,,1137,11,0
【晋北】朔州崇福寺、应县释迦塔，顶级文物，遗世之美,2023-07-01 出发,共3天,朔州>应县,崇福寺>应县木塔,独自一人,深度游 古镇,人均700元,6372,4,0
【晋北】忻州古城，被历史文物包围的休闲避署之地,2023-06-28 出发,共3天,忻州>定襄,忻州古城>河边民俗博物馆,独自一人,深度游 古镇,人均780元,6696,12,0
【晋中】三游晋阳，再次感受控五原都邑的历史文化风情,2023-06-25 出发,共4天,太原>阳曲,太原南站>山西博物院>拱极门>崇善寺>迎泽公园>青龙古镇>纯阳宫,独自一人,深度游 古镇,人均850元,7656,5,0
新疆自驾游,2023-07-18 出发,共27天,,,家庭,自驾 暑假,,713,1,0
逃离都市，寻一处美好,2023-07-17 出发,共1天,拉萨,八廓街>《文成公主》大型史诗剧>布达拉宫>大昭寺>红宫>宗角禄康公园,,,,2214,12,0
安徽黄山歙县黟县自驾4日游,2023-07-06 出发,共4天,,,三五好友,自驾 暑假 夏季,人均1355元,6024,21,0
神都洛阳游,2023-07-15 出发,共3天,洛阳>登封,王城公园>洛阳小街天府总店>少林寺>嵩山风景名胜区>嵩阳书院>老雒阳面馆(纱厂路店)...,亲子,暑假 短途周末,,5498,18,0
延边两省避暑记13日游,2023-07-08 出发,共13天,安图>延吉>长春>珲春,二道白河>延边大学>长春站>中国朝鲜民俗园>帽儿山国家森林公园>防川风景区>珲春欧...,家庭,深度游 暑假,,4580,8,0
贵州六日,2023-07-05 出发,共1天,贵阳>兴义,筑城广场>甲秀楼>青云市集>贵州省博物馆>花溪夜郎谷>青岩古镇>花溪夜郎谷宋式古堡...,,古镇,,6886,14,0
一次文艺复兴的SD巡礼,2023-07-14 出发,共1天,重庆,,,,,5341,1,0
星辰大海之旅,2023-07-08 出发,共2天,上海>无锡,滴水湖>野生动物园>无锡站>上海站>上海世纪大道>上海野生动物园>中国航海博物馆,亲子,暑假 短途周末,,5556,9,0
呼伦贝尔6天5晚+北京3天2晚暑假之旅,2023-07-01 出发,共1天,呼伦贝尔>额尔古纳>北京,海拉尔机场>慈积金刚塔>额尔古纳湿地>巴尔虎草原>恩和俄罗斯族民族乡>白桦林景区...,,暑假 夏季,,2297,5,0
青甘家庭自由行,2023-07-07 出发,共7天,,,家庭,暑假,人均3000元,2209,6,0
暑期高峰出游：西安-重庆-三峡游轮-武汉 8日游,2023-06-25 出发,共8天,重庆>武汉>宜昌,洪崖洞民俗风貌区>磁器口>解放碑步行街>白象居>长江索道>洪崖洞>小什字地铁站...,情侣,深度游 古镇 游轮 暑假 第一次,人均5000元,7357,13,0
从西双版纳到老挝琅勃拉邦,2023-06-05 出发,共5天,老挝(琅勃拉邦Luang Prabang)>勐腊>景洪>西双版纳>美国(旧金山San Francisco),湄公河>中科院西双版纳热带植物园>曼听公园>告庄西双景>浦西山>香通寺>王宫博物馆...,三五好友,美食 端午 第一次,人均4000元,5615,7,0
海参崴的风，吹过盛夏的海，是我最想留住的眷恋,2019-08-20 出发,共1天,俄罗斯(海参崴Vladivostok),海参崴火车站>东正教堂>符拉迪沃斯托克机场>俄罗斯凯旋门>潜水艇C-56博物馆,,美食 夏季,,1706,3,0
夏威夷四岛之旅：探索欧胡、茂宜、大岛和考艾的自然风光和文化,2023-05-09 出发,共16天,"美国(火奴鲁鲁Honolulu 毛伊岛Maui 夏威夷大岛Hawaii, the Big Island)",威基基海滩>火奴鲁鲁国际机场>亚利桑那战列舰纪念馆>钻石头山>珍珠港>伊奥拉尼王宫...,独自一人,深度游 购物 海滨海岛 端午 五一 摄影 探险,人均21000元,7604,2,0
2022年9月中-云南/大理-西双版纳；租车自驾8日,2022-09-16 出发,共8天,大理市区>西双版纳>大理,洱海>喜洲>大理古城>大理站,情侣,美食 古镇 自驾 中秋节 国庆,人均4500元,7581,6,0
青山青水青青草原～（西安～西宁）,2023-06-29 出发,共6天,西宁>贵德>共和,东关清真大寺>青海省博物馆>塔尔寺>拉脊山>贵德国家地质公园阿什贡七彩峰丛景区...,亲子,穷游,人均3000元,1216,0,0
穿越 G219最美的自驾公路（丙察察、 阿里 、新藏线）,2023-05-23 出发,共1天,,,,自驾,,982,8,0
"大理市区,德钦,6日游",2023-06-21 出发,共6天,石家庄>昆明>大理市区>大理>丽江>香格里拉Xianggelila>德钦,槐中路>伏羲文化城>长水国际机场>金马碧鸡坊>秀北山森林公园>洱海>格桑花花田...,独自一人,,,8376,1,0
2023.04 南京5日闲,2023-04-09 出发,共1天,南京,玄武湖景区>鸡鸣寺>大报恩寺遗址景区>南京眼步行桥>江宁织造博物馆>南京博物院...,,,,3092,2,0
娃“嗨”了的北京行（含环球影城）,2023-06-22 出发,共5天,北京>美国(洛杉矶Los Angeles),天安门城楼>天安门广场>国家大剧院>颐和园>北京大学>清华大学>中国国家博物馆...,亲子,暑假 短途周末,人均3000元,5091,5,0
10天福建海上丝绸之路旅行,2023-06-01 出发,共10天,福州>厦门Xiamen>平潭,石厝教堂>高崎国际机场>上下杭>南普陀寺>厦门大学>于山>菽庄花园>仙人井>西湖公...,家庭,美食 海滨海岛 自驾 夏季,人均3300元,855,5,0
南疆行,2023-06-23 出发,共8天,乌鲁木齐>伽师,地窝堡国际机场>天门神秘大峡谷>胡杨林>新疆维吾尔自治区博物馆,三五好友,夏季 第一次,人均7800元,819,3,0
野享大自然 上天入地在桂林玩转户外,2023-06-21 出发,共1天,,,,,,2.8万,1,0
2.5天：济南40+景点暴走打卡全攻略,2023-06-09 出发,共1天,济南,大明湖景区>济南东站>济南站>济南西站>大明湖站>金线泉>漱玉泉>五龙潭公园>趵突...,,,,7677,4,0
去五台山奔赴一场心灵的洗礼,2023-04-07 出发,共3天,五台,五台山>龙泉寺>塔院寺>殊像寺>五爷庙>梵仙山>黛螺顶>南山寺>五台山风景名胜区-...,家庭,购物 自驾 踏春,人均800元,4382,10,0
"大连,3日游",2023-06-16 出发,共3天,大连,龙引泉森林公园>星海广场>俄罗斯风情店>劳动公园>奥林匹克广场>迪美家居生活展示馆...,独自一人,端午 短途周末,,1367,1,0
18岁——一场说走就走的旅行（威海，济南）,2023-06-14 出发,共3天,威海>济南,威海港国际客运中心>刘公岛>猫头山二号观景台>火炬八街>韩乐坊不夜城夜市>威海站...,学生,暑假 第一次,,7892,12,0
去长春，度一个25°的清爽夏日,2023-06-01 出发,共1天,长春,伪满皇宫博物院>一汽红旗文化展馆>长春水文化生态园>长影旧址博物馆>长春电影制片厂...,,美食 夏季,,5.1万,7,0
疫後出行2023——新馬快閃遊（新马快闪游）,2023-05-10 出发,共7天,马来西亚(吉隆坡Kuala Lumpur)>香港,茨厂街>香港国际机场>独立广场,家庭,暑假 夏季,,1732,0,0
北京4日游,2023-06-04 出发,共4天,北京,北京南站>四季民福烤鸭店(呼家楼店)>雨禾酒店(北京传媒大学管庄地铁站店)>环球度假区...,家庭,美食 端午 五一 短途周末,人均3000元,1107,2,0
信仰拉萨，春上林芝  带父母西藏9日自驾游,2023-04-01 出发,共1天,拉萨>林芝,布达拉宫>八廓街>喇嘛岭寺>药王山>帕邦喀>布达拉宫广场>西藏和平解放纪念碑>宗角...,,自驾 摄影,,7627,1,0
3日游,2023-06-09 出发,共3天,清远,南记海鲜,三五好友,短途周末 夏季,,961,2,0
从湘江到长江,2023-05-21 出发,共9天,岳阳>长沙>宜昌,洞庭湖>汴河街>岳阳楼>君山岛>洞庭庙>湘妃祠>湘江>问天台>黄兴路步行街>长沙站...,家庭,穷游 五一,人均2000元,1268,1,0
2023天津-威海-济南～溜娃～夏日放浪,2023-06-02 出发,共8天,呼和浩特>北京>天津>威海>荣成>济南,呼和浩特东站>北京北站>北京南站>天津站>瑞达春天精品酒店(天津卫国道靖江路地铁站...,家庭,深度游 环游 海滨海岛 夏季,人均3000元,4209,4,0
苏中自驾游‖这座城存下了我的一份醉心,2023-04-23 出发,共4天,泰州>兴化,泰州老街>溱湖国家湿地公园>李中水上森林公园>郑板桥故居>兴化博物馆>千垛景区...,三五好友,深度游 古镇 自驾 短途周末 踏春,,1.1万,8,0
打卡《人世间》取景地，长春5天4晚深度游攻略请查收,2023-06-01 出发,共1天,长春,长影世纪城>长影旧址博物馆>伪满皇宫博物院>长春站>长春水文化生态园>南湖公园...,,深度游 美食,,4.1万,9,0
【嘉兴】历史文化小城的惬意之旅,2023-05-14 出发,共3天,嘉兴,梅花洲>南湖景区>嘉兴博物馆>西塘汽车站>月河历史街区>朱生豪故居>南湖革命纪念馆...,独自一人,深度游 古镇,人均1100元,5086,3,0
威海五天四晚超全路线,2023-06-03 出发,共5天,荣成>威海,鸡鸣岛>威海国际海水浴场>火炬八街>大水泊机场>威海希尔维亚酒店>北方饺子王(海水...,三五好友,深度游 美食 海滨海岛 暑假 夏季,人均1500元,1.1万,25,0
去长春  去这座避暑名城纳个凉，去品尝当地特色美食,2023-06-01 出发,共1天,长春,伪满皇宫博物院>吉林省东北虎园>净月潭>南湖公园>长春水文化生态园>长影旧址博物馆...,,美食 夏季,,2.8万,6,0
游黄山,2023-06-13 出发,共1天,黄山,黄山风景区>莲花峰,,夏季,,1580,4,0
古都梅花香——春游南京,2023-02-28 出发,共1天,南京,明孝陵>国际梅花节>梅花山>鸡鸣寺>秦淮河>美龄宫>音乐台>南京博物院>南京城墙...,,美食,,8798,3,0
说走就走其实很容易-毫无准备的云南初行归来！,2023-05-01 出发,共1天,香格里拉Xianggelila,,,古镇,,3199,6,0
【上海】松江︱魔都之根 ，云间风情，带来怎样的惊喜,2023-05-08 出发,共4天,上海,七宝老街>醉白池>曲水园>秋霞圃>豫园>古猗园>仓城历史文化风貌区>松江布展示馆...,独自一人,深度游 古镇 人文,人均1280元,4174,7,0
【豫北】沁阳－济源－焦作｜绝美三大寺庙，震撼在豫北小城的历史文化之中,2023-05-31 出发,共5天,,,独自一人,深度游 古镇,人均1200元,9784,3,0
平遥古城游记❀总有人间一两风，填我十万八千梦,2023-05-12 出发,共1天,平遥,市楼>双林寺>平遥古城,,,,9821,2,0
人文陇西郡，壮美大西北,2023-05-01 出发,共4天,天水>西宁>兰州,麦积山石窟>塔尔寺>青藏高原野生动物园>黄河铁桥>黄河索道>白塔山公园>甘肃省博物,情侣,五一 人文,人均4000元,1.2万,7,0
探寻斐济文化之旅，补回三年斐济时光（攻略｜文化）,2023-05-20 出发,共1天,斐济(楠迪Nadi 苏瓦Suva 雅努卡岛Yanuca Island),楠迪国际机场,,探险,,3.3万,170,0
腾格里沙漠五湖穿越~去线下蚂蚁森林看我种的梭梭树,2023-05-09 出发,共4天,阿拉善左旗Alashanzuoqi,腾格里沙漠>腾格里沙漠天鹅湖>乌兰湖>太阳湖,,徒步,人均2500元,9675,4,0
不辜负每一个夏天～10日自驾游  四川雅安➡️海南,2023-05-01 出发,共10天,陵水>三亚,陵水阿罗哈别墅(清水湾大道8号)>呆呆岛>后海村>秦韵餐厅·三亚红树林度假世界,家庭,美食 海滨海岛 五一 自驾 夏季,人均4000元,1万,3,0
北疆之旅,2023-04-25 出发,共8天,阜康>新源>乌鲁木齐>吐鲁番,天山>那拉提旅游风景区>乌鲁木齐西域国际酒店>河谷草原>那拉提国家森林公园>火焰山...,闺蜜,穷游 美食 五一 探险,人均5000元,7564,4,0
威海6日亲子游,2023-05-09 出发,共6天,荣成>威海,鸡鸣岛>猫头山二号观景台>小石岛>海上公园>西霞口神雕山野生动物园>韩乐坊>海驴岛...,亲子,环游 美食 海滨海岛 五一 自驾,人均1500元,5602,15,0
千年景德镇，两日偷得闲——景德镇周末游,2023-05-19 出发,共2天,景德镇,景德镇陶阳里御窑景区>明清园>陶溪川文创街区,三五好友,美食 短途周末 夏季 第一次,人均1300元,3520,6,0
朵朵妞的旅行——扬州,2023-04-29 出发,共1天,扬州,扬州大学>扬州泰州机场>瘦西湖>皮市街>大明寺>个园>何园>四望亭>朱自清故居,,,,7706,2,0
哈尔滨吃吃喝喝慢慢游,2023-04-29 出发,共4天,哈尔滨,太平国际机场>麗枫酒店(哈尔滨中央大街友谊路地铁站店)>众翔老关东铁锅炖(红霞街总店)...,家庭,美食 五一,人均5000元,2933,0,0
